name,city,country,region,members,fullurl,created,status,last_event,past_events,upcoming_events
PyLadies La Paz,La Paz,Bolivia,Latin America,430,https://www.meetup.com/La-Paz-PyLadies-Meetup/,2018-11-06,Inactive,2020-06-20,12,0
PyLadies Madrid,Madrid,Spain,Europe,2106,https://www.meetup.com/PyLadiesMadrid/,2017-03-29,Inactive,2020-11-28,40,0
PyLadies Melbourne,Melbourne,Australia,Australia,653,https://www.meetup.com/PyLadies-Melbourne/,2016-03-06,Inactive,2020-09-21,55,0
Seattle PyLadies,Seattle,USA,US/Canada,2197,https://www.meetup.com/Seattle-PyLadies/,2012-10-16,Active,2021-11-17,313,0
PyLadies Hamburg,Hamburg,Germany,Europe,806,https://www.meetup.com/PyLadies-Hamburg/,2018-05-31,Active,2021-10-19,39,0
Miami PyLadies,Miami,USA,US/Canada,191,https://www.meetup.com/Miami-PyLadies/,2019-06-10,Active,2021-11-19,19,0
PyLadies Vancouver,Vancouver,Canada,US/Canada,1552,https://www.meetup.com/PyLadies-Vancouver/,2015-05-18,Active,2021-09-19,60,0
Houston PyLadies,Houston,USA,US/Canada,733,https://www.meetup.com/Houston_PyLadies/,2014-07-08,Active,2021-09-14,51,1
Santa Cruz PyLadies,Santa Cruz,USA,US/Canada,142,https://www.meetup.com/PyLadiesSC/,2018-04-02,Inactive,2020-03-24,43,0
PyLadies PDX,Portland,USA,US/Canada,1120,https://www.meetup.com/PyLadies-PDX/,2012-09-07,Active,2021-09-24,633,1
PyLadies Boston,Boston,USA,US/Canada,1344,https://www.meetup.com/PyLadies-Boston/,2013-05-08,Active,2018-09-27,199,1
NYC PyLadies,New York,USA,US/Canada,4259,https://www.meetup.com/NYC-PyLadies/,2012-08-18,Active,2021-11-08,198,0
Pyladies Goa,Panaji,India,Asia,35,https://www.meetup.com/Pyladies-Goa/,2019-08-22,Inactive,2020-02-01,1,0
PyLadies ATX,Austin,USA,US/Canada,1597,https://www.meetup.com/PyLadies-ATX/,2012-11-21,Active,2021-11-16,230,1
TampaBay PyLadies,Tampa,USA,US/Canada,74,https://www.meetup.com/TampaBay-PyLadies/,2019-09-03,Inactive,2021-04-13,6,0
DC PyLadies,Washington,USA,US/Canada,1333,https://www.meetup.com/dc-pyladies/,2011-08-04,Active,2021-11-06,89,0
PyLadies - Twin Cities,Minneapolis,USA,US/Canada,1094,https://www.meetup.com/PyLadiesTC/,2014-05-28,Inactive,2019-05-18,234,0
Seoul PyLadies Meetup,Seoul,Korea (South),Asia,42,https://www.meetup.com/Seoul-PyLadies-Meetup/,2014-05-29,Unbegun,NA,0,0
PyLadies BCN,Barcelona,Spain,Europe,776,https://www.meetup.com/PyLadies-BCN/,2014-02-21,Active,2021-11-27,62,0
Advanced Python (PyLadies),Ostrava,Czech Republic,Europe,65,https://www.meetup.com/Advanced-Python-PyLadies/,2018-03-18,Inactive,2018-06-29,9,0
Cleveland PyLadies,Cleveland,USA,US/Canada,254,https://www.meetup.com/CLE-PyLadies/,2018-05-30,Active,2021-11-17,27,0
PyLadies Lima,Lima,Peru,Latin America,503,https://www.meetup.com/PyLadies-Lima/,2019-10-20,Inactive,2020-11-29,6,0
